Date Time,Wind Speed (m/s),Pressure (atm),Air temperature (deg C),Wind direction (deg)
01.01.2010 00:00:00,4.935,0.795293,1.47167,332.667
01.01.2010 01:00:00,4.843,0.794307,1.385,342
01.01.2010 02:00:00,4.672,0.794997,1.37167,349
01.01.2010 03:00:00,4.432,0.796376,1.25167,356.667
01.01.2010 04:00:00,4.17833,0.79631,1.05167,352
01.01.2010 05:00:00,5.116,0.79621,0.745,344.667
01.01.2010 06:00:00,6.05367,0.79611,0.431667,5.66667
01.01.2010 07:00:00,5.13267,0.796899,0.418333,41.3333
01.01.2010 08:00:00,3.39233,0.796405,0.138333,42.6667
01.01.2010 09:00:00,1.497,0.794532,0.118333,45.3333
01.01.2010 10:00:00,2.50733,0.792596,0.771667,12.6667
01.01.2010 11:00:00,1.961,0.795263,2.17167,12
01.01.2010 12:00:00,2.277,0.79267,2.95167,2
01.01.2010 13:00:00,3.27367,0.792572,3.365,358
01.01.2010 14:00:00,3.90867,0.791588,3.77167,353
01.01.2010 15:00:00,3.00067,0.792574,3.97167,358
01.01.2010 16:00:00,3.99433,0.793757,3.97167,353
01.01.2010 17:00:00,3.55,0.794247,3.07833,3.33333
01.01.2010 18:00:00,3.10933,0.794736,2.185,32.3333
01.01.2010 19:00:00,2.40467,0.796544,2.085,27
01.01.2010 20:00:00,2.155,0.800453,1.885,22.6667
01.01.2010 21:00:00,3.11867,0.799269,1.705,23.3333
01.01.2010 22:00:00,3.21433,0.799958,1.43167,17
01.01.2010 23:00:00,3.98433,0.799562,1.07167,341.667
02.01.2010 00:00:00,4.74767,0.800086,0.471667,323.667
02.01.2010 01:00:00,5.25167,0.799492,-0.235,330
02.01.2010 02:00:00,5.58367,0.799983,-0.815,334.667
02.01.2010 03:00:00,4.73467,0.800079,-1.46167,356
02.01.2010 04:00:00,2.98733,0.799814,-1.90167,16.3333
02.01.2010 05:00:00,3.81,0.799716,-1.89833,354.333
02.01.2010 06:00:00,4.623,0.799617,-1.90167,13
02.01.2010 07:00:00,4.583,0.79804,-2.015,13.6667
02.01.2010 08:00:00,5.49433,0.798532,-2.315,32
02.01.2010 09:00:00,4.629,0.795013,-2.98167,45.3333
02.01.2010 10:00:00,3.41867,0.794161,-2.315,75
02.01.2010 11:00:00,2.198,0.794267,-0.635,80
02.01.2010 12:00:00,2.747,0.793646,0.385,77
02.01.2010 13:00:00,1.80967,0.794276,1.865,87.6667
02.01.2010 14:00:00,1.32933,0.793655,2.865,53.6667
02.01.2010 15:00:00,1.94767,0.794247,3.085,16
02.01.2010 16:00:00,2.62233,0.795823,2.885,29
02.01.2010 17:00:00,3.32333,0.798188,2.39167,55.6667
02.01.2010 18:00:00,4.027,0.800551,1.905,57
02.01.2010 19:00:00,3.438,0.799269,1.71833,81
02.01.2010 20:00:00,3.74067,0.802226,1.55167,106.667
02.01.2010 21:00:00,3.65833,0.802817,1.485,112
02.01.2010 22:00:00,3.264,0.801601,1.53167,110.667
02.01.2010 23:00:00,2.21433,0.801175,1.67167,125.333
03.01.2010 00:00:00,2.60267,0.802653,1.585,108.333
03.01.2010 01:00:00,3.047,0.802653,1.585,137
03.01.2010 02:00:00,3.00033,0.803246,2.005,162
03.01.2010 03:00:00,2.87567,0.80236,2.51833,159.667
03.01.2010 04:00:00,2.70133,0.803151,2.93167,158.667
03.01.2010 05:00:00,2.185,0.801049,3.33833,180
03.01.2010 06:00:00,1.66467,0.798915,3.73833,199
03.01.2010 07:00:00,1.15167,0.800456,3.005,66.6667
03.01.2010 08:00:00,4.02033,0.800877,1.15167,74.6667
03.01.2010 09:00:00,4.30367,0.795291,0.938333,92.3333
03.01.2010 10:00:00,2.88167,0.795982,1.23833,106.333
03.01.2010 11:00:00,2.03667,0.794839,3.17167,104.667
03.01.2010 12:00:00,1.39533,0.793663,5.17167,93.6667
03.01.2010 13:00:00,2.494,0.794749,5.685,49.6667
03.01.2010 14:00:00,3.38867,0.792286,5.885,65
03.01.2010 15:00:00,3.31667,0.791071,6.085,52.6667
03.01.2010 16:00:00,3.97433,0.793764,5.885,46.6667
03.01.2010 17:00:00,5.15567,0.79432,5.145,51.3333
03.01.2010 18:00:00,6.33667,0.794909,4.405,58.3333
03.01.2010 19:00:00,4.86267,0.798161,4.33833,71
03.01.2010 20:00:00,2.494,0.799508,4.27167,63
03.01.2010 21:00:00,1.38533,0.798029,3.985,10.3333
03.01.2010 22:00:00,2.675,0.799703,3.405,334.667
03.01.2010 23:00:00,3.74733,0.79832,2.73833,318.333
04.01.2010 00:00:00,4.56367,0.798317,1.95167,334.667
04.01.2010 01:00:00,4.43867,0.7971,1.385,323.667
04.01.2010 02:00:00,5.11633,0.797197,1.005,329
04.01.2010 03:00:00,4.64933,0.796506,0.718333,332.667
04.01.2010 04:00:00,5.37933,0.798081,0.338333,324.667
04.01.2010 05:00:00,6.49833,0.796207,-0.281667,313.667
04.01.2010 06:00:00,7.62633,0.79443,-0.895,316
04.01.2010 07:00:00,7.77467,0.791571,-1.16167,310
04.01.2010 08:00:00,8.347,0.794033,-1.615,311
04.01.2010 09:00:00,6.554,0.790878,-1.915,313.667
04.01.2010 10:00:00,5.75767,0.791011,-1.315,324
04.01.2010 11:00:00,5.72833,0.791408,-0.728333,334
04.01.2010 12:00:00,6.02767,0.789799,-0.528333,341
04.01.2010 13:00:00,5.91533,0.79072,-0.135,339
04.01.2010 14:00:00,6.29067,0.791017,0.271667,331
04.01.2010 15:00:00,7.071,0.790985,0.485,330
04.01.2010 16:00:00,8.673,0.792563,0.785,332
04.01.2010 17:00:00,9.88033,0.794632,0.568333,341
04.01.2010 18:00:00,11.088,0.796668,0.351667,336.667
04.01.2010 19:00:00,10.808,0.795089,-0.215,339.667
04.01.2010 20:00:00,10.3733,0.801231,-0.781667,345
04.01.2010 21:00:00,9.14333,0.799554,-1.18167,351.667
04.01.2010 22:00:00,9.73567,0.798632,-1.68167,355.333
04.01.2010 23:00:00,9.291,0.800537,-2.00167,357
05.01.2010 00:00:00,10.2617,0.800404,-2.38167,353
05.01.2010 01:00:00,10.3637,0.798825,-2.935,354.667
05.01.2010 02:00:00,10.5383,0.799513,-3.495,348.667
05.01.2010 03:00:00,10.2127,0.799183,-4.06833,344.333
05.01.2010 04:00:00,9.77467,0.802236,-4.615,344.333
05.01.2010 05:00:00,8.85067,0.803024,-4.70833,342.667
05.01.2010 06:00:00,7.91933,0.803779,-4.80167,333.333
05.01.2010 07:00:00,6.58367,0.799278,-4.74833,348.333
05.01.2010 08:00:00,6.99467,0.802858,-4.995,354.333
05.01.2010 09:00:00,4.21067,0.799504,-5.84833,2.66667
05.01.2010 10:00:00,2.056,0.796518,-4.695,33
05.01.2010 11:00:00,1.25067,0.798697,-1.94833,46
05.01.2010 12:00:00,2.60233,0.798602,-1.135,40
05.01.2010 13:00:00,1.89867,0.797228,0.551667,29
05.01.2010 14:00:00,2.52333,0.797526,1.17167,44
05.01.2010 15:00:00,1.55967,0.798908,1.785,67
05.01.2010 16:00:00,1.60567,0.798876,1.885,31
05.01.2010 17:00:00,2.622,0.802325,1.69167,19.3333
05.01.2010 18:00:00,3.636,0.805708,1.505,34.3333
05.01.2010 19:00:00,1.44467,0.805018,1.31833,68.3333
05.01.2010 20:00:00,1.721,0.807547,1.11833,103.333
05.01.2010 21:00:00,0.710333,0.806693,1.11833,234.667
05.01.2010 22:00:00,0.944,0.808566,1.33833,292.333
05.01.2010 23:00:00,2.94433,0.807187,1.73833,303
06.01.2010 00:00:00,2.165,0.807189,2.13833,307.667
06.01.2010 01:00:00,2.57567,0.80788,2.45167,328
06.01.2010 02:00:00,2.79633,0.807584,2.33833,3.66667
06.01.2010 03:00:00,1.964,0.804527,1.95167,37.6667
06.01.2010 04:00:00,1.507,0.807549,1.805,91
06.01.2010 05:00:00,1.806,0.806696,2.095,0
06.01.2010 06:00:00,2.10533,0.80581,2.385,11.6667
06.01.2010 07:00:00,1.92467,0.804824,2.085,357.667
06.01.2010 08:00:00,2.46733,0.807418,1.77167,9
06.01.2010 09:00:00,1.68467,0.802094,1.47167,23.3333
06.01.2010 10:00:00,0.700333,0.800516,1.35167,38.6667
06.01.2010 11:00:00,1.92167,0.801442,2.865,22
