Date Time,Wind Speed (m/s),Pressure (atm),Air temperature (deg C),Wind direction (deg)
01.01.2010 00:00:00,9.476,0.888275,1.704,255.667
01.01.2010 01:00:00,9.723,0.888057,2.65733,254.333
01.01.2010 02:00:00,10.3087,0.89135,2.85733,254.667
01.01.2010 03:00:00,10.478,0.890421,3.324,250.333
01.01.2010 04:00:00,11.2613,0.889385,3.65733,249.333
01.01.2010 05:00:00,11.9807,0.889307,3.91067,246.667
01.01.2010 06:00:00,12.667,0.888843,3.29067,241.667
01.01.2010 07:00:00,11.8843,0.889311,3.51733,246
01.01.2010 08:00:00,11.108,0.889809,3.744,240
01.01.2010 09:00:00,10.87,0.890026,4.07067,245
01.01.2010 10:00:00,7.322,0.886395,4.95733,247
01.01.2010 11:00:00,5.65733,0.886744,6.65733,248.667
01.01.2010 12:00:00,6.36933,0.888704,8.424,255
01.01.2010 13:00:00,5.712,0.887603,9.224,260
01.01.2010 14:00:00,5.58133,0.889497,9.624,257
01.01.2010 15:00:00,5.26567,0.887245,9.624,269
01.01.2010 16:00:00,3.566,0.888969,9.444,272
01.01.2010 17:00:00,2.721,0.889929,9.37067,262.333
01.01.2010 18:00:00,2.18,0.888952,9.21067,175.333
01.01.2010 19:00:00,3.522,0.888359,9.00067,161.667
01.01.2010 20:00:00,4.86333,0.887668,8.79067,166.333
01.01.2010 21:00:00,8.147,0.885422,8.844,196.333
01.01.2010 22:00:00,10.1273,0.887225,8.424,219.667
01.01.2010 23:00:00,9.67133,0.885562,8.55733,219.667
02.01.2010 00:00:00,10.0803,0.888283,8.39067,214.667
02.01.2010 01:00:00,9.05,0.885977,8.524,224
02.01.2010 02:00:00,9.96,0.886755,8.61067,230
02.01.2010 03:00:00,9.594,0.888233,9.044,242.667
02.01.2010 04:00:00,9.792,0.888188,9.31067,247
02.01.2010 05:00:00,9.45767,0.888195,9.41067,244
02.01.2010 06:00:00,9.085,0.887679,9.39067,245
02.01.2010 07:00:00,8.66,0.88673,9.16733,219.667
02.01.2010 08:00:00,8.236,0.885846,8.944,223
02.01.2010 09:00:00,9.066,0.887228,9.37067,233
02.01.2010 10:00:00,9.88767,0.884816,10.744,244
02.01.2010 11:00:00,9.563,0.884898,11.924,248
02.01.2010 12:00:00,8.72533,0.885811,13.024,251
02.01.2010 13:00:00,7.52633,0.884425,13.924,243
02.01.2010 14:00:00,6.777,0.886912,14.524,227
02.01.2010 15:00:00,7.07867,0.883812,14.844,224.667
02.01.2010 16:00:00,7.58433,0.882733,14.5773,218.667
02.01.2010 17:00:00,8.17333,0.884335,14.0107,222
02.01.2010 18:00:00,9.28267,0.88468,13.424,225.667
02.01.2010 19:00:00,9.40967,0.883405,13.124,230.667
02.01.2010 20:00:00,9.53067,0.882227,12.824,240
02.01.2010 21:00:00,10.573,0.883492,12.524,241
02.01.2010 22:00:00,11.5517,0.882108,12.5107,244
02.01.2010 23:00:00,12.5017,0.883671,12.3107,252
03.01.2010 00:00:00,11.8637,0.882757,12.124,250
03.01.2010 01:00:00,11.194,0.885756,12.224,248
03.01.2010 02:00:00,11.73,0.886155,12.4107,250.667
03.01.2010 03:00:00,12.3047,0.885798,12.3707,256
03.01.2010 04:00:00,11.734,0.885211,12.2573,256
03.01.2010 05:00:00,10.6083,0.886052,11.8573,259
03.01.2010 06:00:00,9.65233,0.887025,11.9773,255.333
03.01.2010 07:00:00,9.54733,0.886681,11.2007,259
03.01.2010 08:00:00,9.44633,0.886337,10.424,263.333
03.01.2010 09:00:00,7.72967,0.884221,10.524,262
03.01.2010 10:00:00,6.01233,0.885332,11.224,246
03.01.2010 11:00:00,5.11267,0.883968,12.424,236
03.01.2010 12:00:00,5.24933,0.884456,13.904,212.667
03.01.2010 13:00:00,6.263,0.882892,15.024,175.667
03.01.2010 14:00:00,8.231,0.883391,15.744,186.667
03.01.2010 15:00:00,9.06733,0.884866,16.144,196.667
03.01.2010 16:00:00,9.92133,0.882902,15.6573,197.667
03.01.2010 17:00:00,11.103,0.882553,14.7707,201
03.01.2010 18:00:00,11.5647,0.881568,14.4773,208.667
03.01.2010 19:00:00,11.218,0.882402,13.964,190.667
03.01.2010 20:00:00,10.8613,0.883268,13.4573,204.667
03.01.2010 21:00:00,10.708,0.878222,13.0573,204
03.01.2010 22:00:00,11.4443,0.877777,12.6773,202
03.01.2010 23:00:00,11.785,0.878054,12.4907,209
04.01.2010 00:00:00,11.1243,0.878537,12.4907,210
04.01.2010 01:00:00,11.8643,0.879798,12.5907,211
04.01.2010 02:00:00,11.8003,0.879531,12.9107,213
04.01.2010 03:00:00,11.8643,0.879246,12.9907,210.667
04.01.2010 04:00:00,12.0367,0.876819,12.7707,207
04.01.2010 05:00:00,12.2027,0.877212,12.8707,213
04.01.2010 06:00:00,11.6,0.878867,13.0773,216.667
04.01.2010 07:00:00,11.3487,0.876415,12.5073,210
04.01.2010 08:00:00,11.094,0.873964,11.944,210
04.01.2010 09:00:00,11.1297,0.872799,11.844,212
04.01.2010 10:00:00,9.68,0.873609,11.924,232
04.01.2010 11:00:00,8.132,0.871713,11.024,254
04.01.2010 12:00:00,10.163,0.873527,9.824,272
04.01.2010 13:00:00,11.393,0.871913,8.824,264
04.01.2010 14:00:00,11.2977,0.87448,7.824,266
04.01.2010 15:00:00,11.7693,0.876253,6.524,272
04.01.2010 16:00:00,11.825,0.874634,5.924,270
04.01.2010 17:00:00,12.0577,0.874756,4.944,271
04.01.2010 18:00:00,11.605,0.876341,3.744,279
04.01.2010 19:00:00,13.2147,0.873643,1.58067,290
04.01.2010 20:00:00,14.8247,0.870912,-0.576,292
04.01.2010 21:00:00,13.0083,0.872275,-1.676,292
04.01.2010 22:00:00,13.4417,0.873186,-2.796,289
04.01.2010 23:00:00,13.4,0.87548,-3.876,289
05.01.2010 00:00:00,13.3523,0.873805,-4.776,286
05.01.2010 01:00:00,14.0247,0.875758,-5.676,290
05.01.2010 02:00:00,13.2627,0.877267,-6.096,289
05.01.2010 03:00:00,12.9567,0.87763,-6.376,289
05.01.2010 04:00:00,13.0683,0.879437,-6.676,292
05.01.2010 05:00:00,11.9653,0.878987,-6.676,292
05.01.2010 06:00:00,11.9687,0.881838,-6.776,292
05.01.2010 07:00:00,11.3827,0.882817,-6.576,294.667
05.01.2010 08:00:00,10.7903,0.883796,-6.376,298
05.01.2010 09:00:00,9.54467,0.885065,-6.176,305
05.01.2010 10:00:00,8.288,0.886083,-5.88933,306
05.01.2010 11:00:00,7.25267,0.886299,-5.596,305
05.01.2010 12:00:00,6.60267,0.885945,-4.796,304
05.01.2010 13:00:00,5.12933,0.885614,-4.096,303
05.01.2010 14:00:00,3.72733,0.887677,-3.596,304
05.01.2010 15:00:00,3.77467,0.889628,-3.296,293
05.01.2010 16:00:00,3.36967,0.888369,-3.376,283
05.01.2010 17:00:00,4.14333,0.889413,-3.576,282
05.01.2010 18:00:00,4.03467,0.890058,-3.956,284.667
05.01.2010 19:00:00,3.368,0.88969,-4.95267,295.333
05.01.2010 20:00:00,2.70467,0.889419,-5.94267,270.333
05.01.2010 21:00:00,2.036,0.89064,-5.94267,163.667
05.01.2010 22:00:00,5.89233,0.889997,-5.94267,151.667
05.01.2010 23:00:00,8.115,0.890273,-6.10933,154.333
06.01.2010 00:00:00,9.22567,0.892157,-6.24267,155
06.01.2010 01:00:00,9.96867,0.890308,-6.476,154.667
06.01.2010 02:00:00,9.66033,0.892317,-6.64267,161.667
06.01.2010 03:00:00,9.307,0.892742,-6.56267,170.667
06.01.2010 04:00:00,8.94,0.893144,-6.356,180
06.01.2010 05:00:00,8.714,0.891724,-6.04267,186
06.01.2010 06:00:00,9.07333,0.892095,-5.80933,191.667
06.01.2010 07:00:00,8.93633,0.891641,-5.866,193.333
06.01.2010 08:00:00,8.80633,0.891251,-5.92933,203.667
06.01.2010 09:00:00,8.418,0.890415,-4.30933,216
06.01.2010 10:00:00,7.344,0.8908,-1.856,234
06.01.2010 11:00:00,6.32067,0.891699,-0.189333,239
06.01.2010 12:00:00,5.824,0.891686,0.904,245
06.01.2010 13:00:00,5.448,0.890075,1.704,241
06.01.2010 14:00:00,4.88,0.891946,2.224,229
06.01.2010 15:00:00,4.57067,0.891518,2.524,225.667
06.01.2010 16:00:00,4.61433,0.890805,2.444,235.333
06.01.2010 17:00:00,5.03533,0.891283,1.95733,270.333
06.01.2010 18:00:00,6.45267,0.892238,0.990667,280.667
